Module,Class,Name,BestParameters,BestScore
sklearn.linear_model,LinearRegression,linear_regressor,"{'regressor__linear_regressor__normalize': True, 'regressor__linear_regressor__fit_intercept': True, 'regressor__column_transformer__numericals_transformer__scaler': MaxAbsScaler(copy=True), 'regressor__column_transformer__numericals_transformer__pca': PCA(copy=True, iterated_power='auto', n_components=5, random_state=0,
    svd_solver='auto', tol=0.0, whiten=False)}",-0.14741941421771357
sklearn.linear_model,ElasticNet,elastic_net_regressor,"{'regressor__elastic_net_regressor__random_state': 0, 'regressor__elastic_net_regressor__normalize': False, 'regressor__elastic_net_regressor__max_iter': 1000, 'regressor__elastic_net_regressor__l1_ratio': 0.1, 'regressor__elastic_net_regressor__fit_intercept': True, 'regressor__elastic_net_regressor__alpha': 0.0001, 'regressor__column_transformer__numericals_transformer__scaler': StandardScaler(copy=True, with_mean=True, with_std=True), 'regressor__column_transformer__numericals_transformer__pca': PCA(copy=True, iterated_power='auto', n_components=3, random_state=0,
    svd_solver='auto', tol=0.0, whiten=False)}",-0.14938678813511652
sklearn.neighbors,KNeighborsRegressor,k_nearest_neighbors_regressor,"{'regressor__k_nearest_neighbors_regressor__p': 1, 'regressor__k_nearest_neighbors_regressor__n_neighbors': 10, 'regressor__k_nearest_neighbors_regressor__leaf_size': 49, 'regressor__column_transformer__numericals_transformer__scaler': StandardScaler(copy=True, with_mean=True, with_std=True), 'regressor__column_transformer__numericals_transformer__pca': PCA(copy=True, iterated_power='auto', n_components=5, random_state=0,
    svd_solver='auto', tol=0.0, whiten=False)}",-0.15373475380019164
sklearn.svm,SVR,linear_support_vector_regressor,"{'regressor__linear_support_vector_regressor__shrinking': False, 'regressor__linear_support_vector_regressor__kernel': 'linear', 'regressor__linear_support_vector_regressor__C': 1, 'regressor__column_transformer__numericals_transformer__scaler': StandardScaler(copy=True, with_mean=True, with_std=True), 'regressor__column_transformer__numericals_transformer__pca': PCA(copy=True, iterated_power='auto', n_components=5, random_state=0,
    svd_solver='auto', tol=0.0, whiten=False)}",-0.14753649557574725
sklearn.svm,SVR,poly_support_vector_regressor,"{'regressor__poly_support_vector_regressor__shrinking': True, 'regressor__poly_support_vector_regressor__kernel': 'poly', 'regressor__poly_support_vector_regressor__gamma': 'scale', 'regressor__poly_support_vector_regressor__degree': 2, 'regressor__poly_support_vector_regressor__C': 1, 'regressor__column_transformer__numericals_transformer__scaler': StandardScaler(copy=True, with_mean=True, with_std=True), 'regressor__column_transformer__numericals_transformer__pca': PCA(copy=True, iterated_power='auto', n_components=4, random_state=0,
    svd_solver='auto', tol=0.0, whiten=False)}",-0.13632369532234961
sklearn.svm,SVR,sigmoid_support_vector_regressor,"{'regressor__sigmoid_support_vector_regressor__shrinking': True, 'regressor__sigmoid_support_vector_regressor__kernel': 'sigmoid', 'regressor__sigmoid_support_vector_regressor__gamma': 0.001, 'regressor__sigmoid_support_vector_regressor__C': 100, 'regressor__column_transformer__numericals_transformer__scaler': StandardScaler(copy=True, with_mean=True, with_std=True), 'regressor__column_transformer__numericals_transformer__pca': PCA(copy=True, iterated_power='auto', n_components=2, random_state=0,
    svd_solver='auto', tol=0.0, whiten=False)}",-0.15314531722049157
sklearn.svm,SVR,rbf_support_vector_regressor,"{'regressor__rbf_support_vector_regressor__shrinking': False, 'regressor__rbf_support_vector_regressor__kernel': 'rbf', 'regressor__rbf_support_vector_regressor__gamma': 0.01, 'regressor__rbf_support_vector_regressor__C': 1000, 'regressor__column_transformer__numericals_transformer__scaler': StandardScaler(copy=True, with_mean=True, with_std=True), 'regressor__column_transformer__numericals_transformer__pca': PCA(copy=True, iterated_power='auto', n_components=5, random_state=0,
    svd_solver='auto', tol=0.0, whiten=False)}",-0.13522132037485857
sklearn.linear_model,LinearRegression,polynomial_regressor,"{'regressor__polynomialiser__interaction_only': False, 'regressor__polynomial_regressor__normalize': False, 'regressor__polynomial_regressor__fit_intercept': True, 'regressor__column_transformer__numericals_transformer__scaler': StandardScaler(copy=True, with_mean=True, with_std=True), 'regressor__column_transformer__numericals_transformer__pca': 'passthrough'}",-0.14298545577190197
sklearn.linear_model,ElasticNet,polynomial_elastic_net_regressor,"{'regressor__polynomialiser__interaction_only': True, 'regressor__polynomial_elastic_net_regressor__random_state': 0, 'regressor__polynomial_elastic_net_regressor__normalize': True, 'regressor__polynomial_elastic_net_regressor__max_iter': 2000, 'regressor__polynomial_elastic_net_regressor__l1_ratio': 0.8, 'regressor__polynomial_elastic_net_regressor__fit_intercept': False, 'regressor__polynomial_elastic_net_regressor__alpha': 0.0001, 'regressor__column_transformer__numericals_transformer__scaler': StandardScaler(copy=True, with_mean=True, with_std=True), 'regressor__column_transformer__numericals_transformer__pca': PCA(copy=True, iterated_power='auto', n_components=4, random_state=0,
    svd_solver='auto', tol=0.0, whiten=False)}",-0.13639497664707606
sklearn.tree,DecisionTreeRegressor,decision_tree_regressor,"{'regressor__decision_tree_regressor__splitter': 'best', 'regressor__decision_tree_regressor__random_state': 0, 'regressor__decision_tree_regressor__min_samples_split': 9, 'regressor__decision_tree_regressor__min_samples_leaf': 7, 'regressor__decision_tree_regressor__max_depth': 14}",-0.15794495351425866
sklearn.ensemble,RandomForestRegressor,random_forest_regressor,"{'regressor__random_forest_regressor__random_state': 0, 'regressor__random_forest_regressor__n_jobs': -1, 'regressor__random_forest_regressor__n_estimators': 250, 'regressor__random_forest_regressor__min_samples_split': 9, 'regressor__random_forest_regressor__min_samples_leaf': 1, 'regressor__random_forest_regressor__max_depth': 19}",-0.12804480193480317
sklearn.ensemble,ExtraTreesRegressor,extra_trees_regressor,"{'regressor__extra_trees_regressor__random_state': 0, 'regressor__extra_trees_regressor__n_jobs': -1, 'regressor__extra_trees_regressor__n_estimators': 250, 'regressor__extra_trees_regressor__min_samples_split': 10, 'regressor__extra_trees_regressor__min_samples_leaf': 1, 'regressor__extra_trees_regressor__max_depth': 21, 'regressor__extra_trees_regressor__bootstrap': True}",-0.12898251288423
xgboost,XGBRegressor,xgb_regressor,"{'regressor__xgb_regressor__reg_lambda': 0.4, 'regressor__xgb_regressor__reg_alpha': 0.4, 'regressor__xgb_regressor__random_state': 0, 'regressor__xgb_regressor__n_jobs': -1, 'regressor__xgb_regressor__n_estimators': 250, 'regressor__xgb_regressor__min_child_weight': 5, 'regressor__xgb_regressor__max_depth': 10, 'regressor__xgb_regressor__learning_rate': 0.05, 'regressor__xgb_regressor__colsample_bytree': 0.8}",-0.11759572172383452
xgboost,XGBRegressor,xgb_regressor,"{'regressor__xgb_regressor__colsample_bytree': 0.7, 'regressor__xgb_regressor__learning_rate': 0.04, 'regressor__xgb_regressor__max_depth': 12, 'regressor__xgb_regressor__min_child_weight': 6, 'regressor__xgb_regressor__n_estimators': 300, 'regressor__xgb_regressor__n_jobs': -1, 'regressor__xgb_regressor__random_state': 0, 'regressor__xgb_regressor__reg_alpha': 0.5, 'regressor__xgb_regressor__reg_lambda': 0.4}",-0.11677063454930961
xgboost,XGBRegressor,xgb_regressor,"{'regressor__xgb_regressor__colsample_bytree': 0.6, 'regressor__xgb_regressor__learning_rate': 0.04, 'regressor__xgb_regressor__max_depth': 12, 'regressor__xgb_regressor__min_child_weight': 5, 'regressor__xgb_regressor__n_estimators': 350, 'regressor__xgb_regressor__n_jobs': -1, 'regressor__xgb_regressor__random_state': 0, 'regressor__xgb_regressor__reg_alpha': 0.6, 'regressor__xgb_regressor__reg_lambda': 0.3}",-0.11636263446988904
xgboost,XGBRegressor,xgb_regressor,"{'regressor__xgb_regressor__colsample_bytree': 0.5, 'regressor__xgb_regressor__learning_rate': 0.03, 'regressor__xgb_regressor__max_depth': 12, 'regressor__xgb_regressor__min_child_weight': 5, 'regressor__xgb_regressor__n_estimators': 400, 'regressor__xgb_regressor__n_jobs': -1, 'regressor__xgb_regressor__random_state': 0, 'regressor__xgb_regressor__reg_alpha': 0.5, 'regressor__xgb_regressor__reg_lambda': 0.4}",-0.11601324033912848
